iter	Logloss
0	0.6550077438
1	0.6110966206
2	0.5647690773
3	0.5340847015
4	0.5070608139
5	0.4770506859
6	0.4470166206
7	0.4155650616
8	0.3941314936
9	0.3697153568
10	0.3512279272
11	0.3322324991
12	0.3137004375
13	0.2957174301
14	0.2785720825
15	0.2669661999
16	0.25076828
17	0.2350087166
18	0.2242111206
19	0.2101342678
20	0.2000694036
21	0.187671721
22	0.1787409067
23	0.1688498974
24	0.1609583974
25	0.1525853872
26	0.1455521464
27	0.139445281
28	0.1325421095
29	0.1283410788
30	0.1223610997
31	0.1171762228
32	0.1133739352
33	0.1082302094
34	0.1040667534
35	0.1001386166
36	0.09644597769
37	0.09271105528
38	0.08908382058
39	0.08607882857
40	0.08364285231
41	0.08126059771
42	0.07821546793
43	0.0760004878
44	0.07318251133
45	0.07108472586
46	0.06889411807
47	0.06714598536
48	0.06470347047
49	0.06326525211
50	0.06118078232
51	0.06020534039
52	0.05884829164
53	0.05710486174
54	0.05543420315
55	0.05333801508
56	0.05191650391
57	0.05058711171
58	0.04950474203
59	0.04818615317
60	0.04727928042
61	0.04611075521
62	0.04487089813
63	0.04373688698
64	0.0428381145
65	0.0417254746
66	0.04080841243
67	0.03984277248
68	0.03905260563
69	0.03819941878
70	0.03734406829
71	0.03614202142
72	0.03568347096
73	0.03522641659
74	0.03451456428
75	0.03377259672
76	0.03304139972
77	0.03236409426
78	0.03181504011
79	0.03110064566
80	0.03039126992
81	0.0296651721
82	0.0291285634
83	0.02855776846
84	0.02798928618
85	0.02764617801
86	0.02698110044
87	0.02655450106
88	0.02615984976
89	0.02571469843
90	0.02518846691
91	0.02467903048
92	0.02419929653
93	0.02386736274
94	0.02350887209
95	0.02313105911
96	0.02275423706
97	0.02239243388
98	0.02209784836
99	0.02187823057
100	0.02150049657
101	0.02119350433
102	0.02076719105
103	0.0205386728
104	0.02028702199
105	0.02007000446
106	0.01976088583
107	0.01945296377
108	0.01917620897
109	0.01890851259
110	0.01864906549
111	0.01841063797
112	0.01814318597
113	0.0178347677
114	0.01764777899
115	0.01745568514
116	0.01723248363
117	0.01703611314
118	0.01687311828
119	0.01663245559
120	0.01637825072
121	0.0161607787
122	0.01598261893
123	0.0157749176
124	0.0155897826
125	0.01536145061
126	0.01515374631
127	0.01500558406
128	0.01488642693
129	0.01469735652
130	0.01448126435
131	0.01432997286
132	0.01420774907
133	0.01400744915
134	0.01382032186
135	0.01369054317
136	0.01357708126
137	0.01337712705
138	0.01325746477
139	0.01307063699
140	0.0128690213
141	0.01278766096
142	0.01260860264
143	0.01250783354
144	0.01237321645
145	0.01225506887
146	0.01215044707
147	0.01204711497
148	0.01193643436
149	0.01182149351
150	0.01176758334
151	0.01163725555
152	0.01153551191
153	0.01139511093
154	0.01130701303
155	0.01121867672
156	0.01110196337
157	0.01099664122
158	0.01089900583
159	0.01080714539
160	0.01074230596
161	0.01066081822
162	0.01054843217
163	0.01043438315
164	0.01031376794
165	0.01022421271
166	0.0101181522
167	0.01001125425
168	0.009904111922
169	0.009805856645
170	0.009725575149
171	0.009639322013
172	0.009551015496
173	0.009486474097
174	0.009384319186
175	0.009308755398
176	0.009235565364
177	0.009152916819
178	0.009084298462
179	0.008985804021
180	0.008903382719
181	0.008813530207
182	0.008735831082
183	0.008667942882
184	0.008598789573
185	0.008537543565
186	0.008472371101
187	0.008426102996
188	0.008360931277
189	0.008291533589
190	0.008236794174
191	0.008165965974
192	0.008117448539
193	0.008052916825
194	0.008003291488
195	0.007932931185
196	0.007866042107
197	0.007815850526
198	0.007744663954
